City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Bira,RU,49.0,132.4667,15.78,71,63,3.44,broken clouds
216,Taoudenni,ML,22.6783,-3.9836,69.67,17,52,10.45,broken clouds
217,Ozu,JP,33.5,132.55,51.42,46,38,14.63,scattered clouds
218,Olafsvik,IS,64.8945,-23.7142,35.73,79,94,14.36,overcast clouds
219,Meadow Lake,US,34.8014,-106.5436,46.42,77,100,8.14,overcast clouds
220,Tadine,NC,-21.55,167.8833,79.18,65,22,15.41,few clouds
221,Gorshechnoye,RU,51.5244,38.0365,26.1,87,99,14.99,overcast clouds
222,Canala,NC,-21.5333,165.95,76.5,73,81,8.84,broken clouds
223,Emerald,AU,-23.5333,148.1667,87.35,48,90,16.11,overcast clouds
224,Baghdad,IQ,33.3406,44.4009,44.51,61,0,2.3,haze
225,Kenora,CA,49.8167,-94.4337,-1.23,71,40,6.91,scattered clouds
226,Storforshei,NO,66.4043,14.5233,15.58,92,97,2.3,overcast clouds
227,Cherskiy,RU,68.75,161.3,-27.56,98,100,2.28,overcast clouds
228,Lata,PT,40.1629,-8.3327,53.92,86,96,4.38,overcast clouds
229,Pahrump,US,36.2083,-115.9839,51.26,25,0,2.04,clear sky
230,Touros,BR,-5.1989,-35.4608,77.97,81,100,7.76,overcast clouds
231,Lucea,JM,18.451,-78.1736,75.06,74,0,11.95,clear sky
232,Sorrento,IT,40.626,14.3744,55.26,95,19,1.99,few clouds
233,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,26.1,63,35,1.92,scattered clouds
234,Avarua,CK,-21.2078,-159.775,82.45,78,40,10.36,scattered clouds
235,Mujiayingzi,CN,42.1167,118.7833,22.32,24,1,19.57,clear sky
236,Banepa,NP,27.6298,85.5214,65.12,52,20,3.44,haze
237,Kodiak,US,57.79,-152.4072,33.31,60,0,12.66,clear sky
238,Isiro,CD,2.7739,27.616,66.06,52,95,3.27,overcast clouds
239,Urumqi,CN,43.801,87.6005,20.35,68,67,0.0,smoke
240,Rio De Jesus,PA,7.9844,-81.1631,70.47,81,63,4.65,broken clouds
241,Khatanga,RU,71.9667,102.5,12.0,93,100,16.06,light snow
242,Trenggalek,ID,-8.05,111.7167,85.71,69,33,6.35,scattered clouds
243,Wageningen,NL,51.9667,5.6667,46.85,94,100,13.8,mist
244,Domna,RU,51.8971,113.1573,14.16,43,11,4.47,few clouds
245,Maniitsoq,GL,65.4167,-52.9,6.55,87,100,9.22,light snow
246,Rawson,AR,-43.3002,-65.1023,57.76,58,38,8.95,scattered clouds
247,Matara,LK,5.9485,80.5353,80.69,77,94,4.16,overcast clouds
248,Teya,RU,60.3778,92.6267,13.03,90,100,9.24,overcast clouds
249,Saint Paul,US,44.9444,-93.0933,22.05,80,0,4.61,clear sky
250,Pisco,PE,-13.7,-76.2167,71.65,88,0,4.61,clear sky
251,Hofn,IS,64.2539,-15.2082,37.94,60,68,19.15,broken clouds
252,Tabas,IR,33.5959,56.9244,55.15,18,0,3.51,clear sky
253,Ahipara,NZ,-35.1667,173.1667,70.47,69,5,5.06,clear sky
254,Egvekinot,RU,66.3167,-179.1667,-17.73,84,89,9.31,overcast clouds
255,Lagos,NG,6.5833,3.75,77.32,88,24,2.66,few clouds
256,Leningradskiy,RU,69.3833,178.4167,-21.8,96,100,8.39,overcast clouds
257,Teruel,ES,40.6667,-0.6667,40.93,71,7,3.65,clear sky
258,Ganzhou,CN,28.8184,115.4327,61.11,37,0,9.57,clear sky
259,Nalut,LY,30.3333,10.85,46.98,42,0,8.25,clear sky
260,Sechura,PE,-5.5569,-80.8222,77.76,73,100,9.53,overcast clouds
261,Itarema,BR,-2.9248,-39.9167,76.5,83,99,6.44,overcast clouds
262,Cambridge,CA,43.3601,-80.3127,44.04,62,100,13.8,overcast clouds
263,Namatanai,PG,-3.6667,152.4333,83.89,72,69,3.6,light rain
264,Weyburn,CA,49.6668,-103.8511,17.82,86,99,20.71,overcast clouds
265,Narsaq,GL,60.9167,-46.05,12.42,73,64,9.55,broken clouds
266,Sandwick,GB,60.0,-1.25,44.42,76,75,50.64,light rain
